id"created"updated"camper_id"grouping_camp_id
267"2018-09-04 13:21:20.809347-05"2018-09-04 13:21:20.809382-05"31458"118
268"2018-09-04 13:21:20.846058-05"2018-09-04 13:21:20.846108-05"31354"118
269"2018-09-04 13:21:20.885195-05"2018-09-04 13:21:20.885229-05"31327"118
270"2018-09-04 13:25:43.133408-05"2018-09-04 13:25:43.133461-05"31369"118
271"2018-09-04 13:29:57.378796-05"2018-09-04 13:29:57.378854-05"31366"119
272"2018-09-04 13:29:57.418227-05"2018-09-04 13:29:57.418261-05"31437"119
273"2018-09-04 13:29:57.454732-05"2018-09-04 13:29:57.454791-05"31658"119
274"2018-09-04 13:29:57.496018-05"2018-09-04 13:29:57.496062-05"31337"119
275"2018-09-04 13:29:57.533298-05"2018-09-04 13:29:57.533346-05"31486"119
276"2018-09-04 13:29:57.657183-05"2018-09-04 13:29:57.657218-05"31674"119
277"2018-09-04 13:29:57.697551-05"2018-09-04 13:29:57.69761-05"31371"119
278"2018-09-04 13:29:57.741395-05"2018-09-04 13:29:57.741433-05"31471"119
279"2018-09-04 13:29:57.778202-05"2018-09-04 13:29:57.778237-05"31454"119
280"2018-09-04 13:29:57.818102-05"2018-09-04 13:29:57.818161-05"31406"119
281"2018-09-04 13:29:57.853398-05"2018-09-04 13:29:57.853473-05"31645"119
282"2018-09-04 13:29:57.895727-05"2018-09-04 13:29:57.895776-05"31430"119
283"2018-09-04 13:29:57.935322-05"2018-09-04 13:29:57.935359-05"31611"119
284"2018-09-04 13:29:57.974737-05"2018-09-04 13:29:57.974781-05"31533"119
285"2018-09-04 13:29:58.006946-05"2018-09-04 13:29:58.007005-05"31495"119
286"2018-09-04 13:31:58.610887-05"2018-09-04 13:31:58.610946-05"31687"119
287"2018-09-04 13:33:55.31851-05"2018-09-04 13:33:55.318555-05"31506"119
288"2018-09-04 13:33:55.365313-05"2018-09-04 13:33:55.36537-05"31603"119
289"2018-09-04 13:33:55.402417-05"2018-09-04 13:33:55.402463-05"31605"119
290"2018-09-04 13:33:55.438625-05"2018-09-04 13:33:55.438671-05"31580"119
291"2018-09-04 13:33:55.475573-05"2018-09-04 13:33:55.475622-05"31338"119
292"2018-09-04 13:33:55.511746-05"2018-09-04 13:33:55.51178-05"31451"119
293"2018-09-04 13:33:55.544135-05"2018-09-04 13:33:55.544181-05"31351"119
294"2018-09-04 13:39:09.80412-05"2018-09-04 13:39:09.804155-05"31342"120
295"2018-09-04 13:39:09.852452-05"2018-09-04 13:39:09.852589-05"31519"120
296"2018-09-04 13:39:09.89264-05"2018-09-04 13:39:09.89268-05"31405"120
297"2018-09-04 13:39:09.942848-05"2018-09-04 13:39:09.942904-05"31418"120
298"2018-09-04 13:39:09.992451-05"2018-09-04 13:39:09.992591-05"31457"120
299"2018-09-04 13:39:10.038134-05"2018-09-04 13:39:10.038168-05"31306"120
300"2018-09-04 13:39:10.089631-05"2018-09-04 13:39:10.08969-05"31466"120
301"2018-09-04 13:39:10.141216-05"2018-09-04 13:39:10.141275-05"31534"120
302"2018-09-04 13:39:10.194895-05"2018-09-04 13:39:10.194952-05"31347"120
303"2018-09-04 13:39:10.246959-05"2018-09-04 13:39:10.24701-05"31335"120
304"2018-09-04 13:39:10.303086-05"2018-09-04 13:39:10.303143-05"31579"120
305"2018-09-04 13:39:10.339328-05"2018-09-04 13:39:10.33938-05"31363"120
306"2018-09-04 13:39:10.37399-05"2018-09-04 13:39:10.374048-05"31526"120
307"2018-09-04 13:39:10.409907-05"2018-09-04 13:39:10.40994-05"31346"120
308"2018-09-04 13:39:10.441055-05"2018-09-04 13:39:10.441089-05"31380"120
309"2018-09-04 13:39:10.47181-05"2018-09-04 13:39:10.471844-05"31509"120
310"2018-09-04 13:39:10.505851-05"2018-09-04 13:39:10.505886-05"31442"120
311"2018-09-04 13:39:10.540572-05"2018-09-04 13:39:10.540619-05"31433"120
312"2018-09-04 13:39:10.573067-05"2018-09-04 13:39:10.573113-05"31646"120
313"2018-09-04 13:39:10.606124-05"2018-09-04 13:39:10.606158-05"31469"120
314"2018-09-04 13:39:10.637497-05"2018-09-04 13:39:10.637542-05"31520"120
315"2018-09-04 13:39:10.667678-05"2018-09-04 13:39:10.667732-05"31356"120
316"2018-09-04 13:39:37.745124-05"2018-09-04 13:39:37.745167-05"31552"120
317"2018-09-04 13:45:30.778653-05"2018-09-04 13:45:30.778703-05"31426"121
318"2018-09-04 13:45:30.822052-05"2018-09-04 13:45:30.822111-05"31581"121
319"2018-09-04 13:45:30.85757-05"2018-09-04 13:45:30.857615-05"31395"121
320"2018-09-04 13:45:30.898641-05"2018-09-04 13:45:30.898677-05"31365"121
321"2018-09-04 13:45:30.935408-05"2018-09-04 13:45:30.935465-05"31464"121
322"2018-09-04 13:45:30.973473-05"2018-09-04 13:45:30.973525-05"31330"121
323"2018-09-04 13:45:31.012643-05"2018-09-04 13:45:31.012689-05"31677"121
324"2018-09-04 13:45:31.047566-05"2018-09-04 13:45:31.047601-05"31681"121
325"2018-09-04 13:45:31.082452-05"2018-09-04 13:45:31.082504-05"31545"121
326"2018-09-04 13:45:31.115927-05"2018-09-04 13:45:31.115962-05"31595"121
327"2018-09-04 13:45:31.155939-05"2018-09-04 13:45:31.155984-05"31402"121
328"2018-09-04 13:45:31.205006-05"2018-09-04 13:45:31.205067-05"31571"121
329"2018-09-04 13:45:31.25377-05"2018-09-04 13:45:31.253826-05"31449"121
330"2018-09-04 13:47:17.345724-05"2018-09-04 13:47:17.345781-05"31531"121
331"2018-09-04 13:47:17.395748-05"2018-09-04 13:47:17.395783-05"31328"121
332"2018-09-04 13:47:17.434997-05"2018-09-04 13:47:17.435073-05"31416"121
