id"checkpoint_id"camper_id"checkin"checkin_date"created"updated
28653"1403"37835"t"2022-07-18 06:26:25.658265-05"2022-07-18 06:26:25.663979-05"2022-07-18 06:26:25.663992-05
28654"1403"37819"t"2022-07-18 06:26:35.903264-05"2022-07-18 06:26:35.912106-05"2022-07-18 06:26:35.912131-05
28655"1403"37837"t"2022-07-18 06:26:50.857769-05"2022-07-18 06:26:50.863102-05"2022-07-18 06:26:50.863114-05
28656"1403"37853"t"2022-07-18 06:27:03.858109-05"2022-07-18 06:27:03.863372-05"2022-07-18 06:27:03.863386-05
28657"1403"37831"t"2022-07-18 06:27:13.608731-05"2022-07-18 06:27:13.614332-05"2022-07-18 06:27:13.614343-05
28658"1403"37862"t"2022-07-18 06:27:26.426319-05"2022-07-18 06:27:26.431783-05"2022-07-18 06:27:26.431794-05
28659"1403"37920"t"2022-07-18 06:27:36.766712-05"2022-07-18 06:27:36.772398-05"2022-07-18 06:27:36.77241-05
28660"1403"37830"t"2022-07-18 06:27:49.765899-05"2022-07-18 06:27:49.771566-05"2022-07-18 06:27:49.771586-05
28661"1403"37841"t"2022-07-18 06:28:02.098974-05"2022-07-18 06:28:02.104416-05"2022-07-18 06:28:02.104428-05
28662"1403"39852"t"2022-07-18 06:28:14.002343-05"2022-07-18 06:28:14.007801-05"2022-07-18 06:28:14.007813-05
28663"1403"37850"t"2022-07-18 06:28:22.29739-05"2022-07-18 06:28:22.306438-05"2022-07-18 06:28:22.30646-05
28664"1403"37836"t"2022-07-18 06:28:30.95265-05"2022-07-18 06:28:30.960994-05"2022-07-18 06:28:30.961014-05
28665"1403"37832"t"2022-07-18 06:28:42.945085-05"2022-07-18 06:28:42.950419-05"2022-07-18 06:28:42.950432-05
28666"1403"38116"t"2022-07-18 06:28:53.539699-05"2022-07-18 06:28:53.544893-05"2022-07-18 06:28:53.544905-05
28667"1403"37846"t"2022-07-18 06:29:03.51283-05"2022-07-18 06:29:03.518076-05"2022-07-18 06:29:03.518088-05
28668"1403"37839"t"2022-07-18 06:29:15.568856-05"2022-07-18 06:29:15.574228-05"2022-07-18 06:29:15.574241-05
28669"1403"37838"t"2022-07-18 06:29:25.507217-05"2022-07-18 06:29:25.512535-05"2022-07-18 06:29:25.512548-05
28670"1403"37852"t"2022-07-18 06:29:36.841589-05"2022-07-18 06:29:36.849639-05"2022-07-18 06:29:36.849656-05
28671"1403"30269"t"2022-07-18 06:29:48.965172-05"2022-07-18 06:29:48.971795-05"2022-07-18 06:29:48.971812-05
28672"1403"37857"t"2022-07-18 06:30:03.207988-05"2022-07-18 06:30:03.213362-05"2022-07-18 06:30:03.213376-05
28673"1403"37863"t"2022-07-18 06:30:12.176579-05"2022-07-18 06:30:12.181992-05"2022-07-18 06:30:12.182004-05
28674"1403"37827"t"2022-07-18 06:30:26.893072-05"2022-07-18 06:30:26.898331-05"2022-07-18 06:30:26.898343-05
28675"1403"37829"t"2022-07-18 06:30:38.68984-05"2022-07-18 06:30:38.695091-05"2022-07-18 06:30:38.695104-05
28676"1403"39778"t"2022-07-18 06:30:47.81254-05"2022-07-18 06:30:47.820421-05"2022-07-18 06:30:47.820441-05
28677"1403"37842"t"2022-07-18 06:30:56.0476-05"2022-07-18 06:30:56.053151-05"2022-07-18 06:30:56.053169-05
28678"1403"25613"t"2022-07-18 06:31:07.115989-05"2022-07-18 06:31:07.12373-05"2022-07-18 06:31:07.123743-05
28679"1403"37849"t"2022-07-18 06:31:16.891018-05"2022-07-18 06:31:16.896756-05"2022-07-18 06:31:16.896769-05
28680"1403"37926"t"2022-07-18 06:31:35.14904-05"2022-07-18 06:31:35.154374-05"2022-07-18 06:31:35.154386-05
28681"1403"37828"t"2022-07-18 06:31:53.406128-05"2022-07-18 06:31:53.411205-05"2022-07-18 06:31:53.411216-05
28682"1403"37875"t"2022-07-18 06:32:04.892402-05"2022-07-18 06:32:04.897618-05"2022-07-18 06:32:04.897631-05
28683"1403"37821"t"2022-07-18 06:32:13.523921-05"2022-07-18 06:32:13.529431-05"2022-07-18 06:32:13.529444-05
28684"1403"37825"t"2022-07-18 06:32:24.207041-05"2022-07-18 06:32:24.21223-05"2022-07-18 06:32:24.212241-05
28685"1403"37848"t"2022-07-18 06:32:34.226184-05"2022-07-18 06:32:34.231775-05"2022-07-18 06:32:34.231788-05
28686"1403"37824"t"2022-07-18 06:32:43.998395-05"2022-07-18 06:32:44.003747-05"2022-07-18 06:32:44.003759-05
28687"1403"39886"t"2022-07-18 06:33:18.476974-05"2022-07-18 06:33:18.483069-05"2022-07-18 06:33:18.483095-05
28688"1403"39884"t"2022-07-18 06:33:55.177177-05"2022-07-18 06:33:55.183255-05"2022-07-18 06:33:55.183269-05
28689"1404"37926"t"2022-07-21 14:42:44.55284-05"2022-07-21 14:42:44.558398-05"2022-07-21 14:42:44.558411-05
28690"1404"30269"t"2022-07-21 14:42:56.095626-05"2022-07-21 14:42:56.101045-05"2022-07-21 14:42:56.101057-05
28691"1404"37838"t"2022-07-21 14:43:05.092414-05"2022-07-21 14:43:05.097684-05"2022-07-21 14:43:05.097695-05
28692"1404"37852"t"2022-07-21 14:43:19.019446-05"2022-07-21 14:43:19.024834-05"2022-07-21 14:43:19.024846-05
28693"1404"37835"t"2022-07-21 14:43:27.744424-05"2022-07-21 14:43:27.750478-05"2022-07-21 14:43:27.750492-05
28694"1404"37920"t"2022-07-21 14:43:39.084027-05"2022-07-21 14:43:39.089651-05"2022-07-21 14:43:39.089662-05
28695"1404"37839"t"2022-07-21 14:44:22.033844-05"2022-07-21 14:44:22.039426-05"2022-07-21 14:44:22.039439-05
28696"1404"37848"t"2022-07-21 14:44:29.207388-05"2022-07-21 14:44:29.213147-05"2022-07-21 14:44:29.213164-05
28697"1404"37825"t"2022-07-21 14:44:39.135994-05"2022-07-21 14:44:39.141058-05"2022-07-21 14:44:39.14107-05
28698"1404"37857"t"2022-07-21 14:44:47.311385-05"2022-07-21 14:44:47.317438-05"2022-07-21 14:44:47.317454-05
28699"1404"37863"t"2022-07-21 14:44:54.33582-05"2022-07-21 14:44:54.341263-05"2022-07-21 14:44:54.341276-05
28700"1404"37836"t"2022-07-21 14:45:01.950912-05"2022-07-21 14:45:01.956628-05"2022-07-21 14:45:01.956641-05
28701"1404"37832"t"2022-07-21 14:45:13.151222-05"2022-07-21 14:45:13.156607-05"2022-07-21 14:45:13.156619-05
28702"1404"37853"t"2022-07-21 14:45:24.35008-05"2022-07-21 14:45:24.355613-05"2022-07-21 14:45:24.355626-05
28703"1404"37829"t"2022-07-21 14:45:36.855866-05"2022-07-21 14:45:36.86347-05"2022-07-21 14:45:36.863489-05
28704"1404"37875"t"2022-07-21 14:45:46.602379-05"2022-07-21 14:45:46.607704-05"2022-07-21 14:45:46.607717-05
28705"1404"37824"t"2022-07-21 14:45:55.316283-05"2022-07-21 14:45:55.32412-05"2022-07-21 14:45:55.32414-05
28706"1404"39852"t"2022-07-21 14:46:05.847901-05"2022-07-21 14:46:05.853506-05"2022-07-21 14:46:05.853519-05
28707"1404"37850"t"2022-07-21 14:46:15.875887-05"2022-07-21 14:46:15.88308-05"2022-07-21 14:46:15.883098-05
28708"1404"37849"t"2022-07-21 14:46:31.956834-05"2022-07-21 14:46:31.964172-05"2022-07-21 14:46:31.964189-05
28709"1404"37827"t"2022-07-21 14:46:41.54935-05"2022-07-21 14:46:41.554643-05"2022-07-21 14:46:41.554655-05
28710"1404"37862"t"2022-07-21 14:46:51.230917-05"2022-07-21 14:46:51.236321-05"2022-07-21 14:46:51.236335-05
28711"1404"37837"t"2022-07-21 14:47:01.851108-05"2022-07-21 14:47:01.856459-05"2022-07-21 14:47:01.856472-05
28712"1404"38116"t"2022-07-21 14:47:14.9705-05"2022-07-21 14:47:14.975969-05"2022-07-21 14:47:14.975982-05
28713"1404"25613"t"2022-07-21 14:47:26.533232-05"2022-07-21 14:47:26.53865-05"2022-07-21 14:47:26.538663-05
28714"1404"37819"t"2022-07-21 14:47:37.342481-05"2022-07-21 14:47:37.348058-05"2022-07-21 14:47:37.348071-05
28715"1404"37821"t"2022-07-21 14:47:48.602391-05"2022-07-21 14:47:48.610069-05"2022-07-21 14:47:48.610081-05
28716"1404"37828"t"2022-07-21 14:48:06.584174-05"2022-07-21 14:48:06.58949-05"2022-07-21 14:48:06.589503-05
28717"1404"39778"t"2022-07-21 14:48:27.035615-05"2022-07-21 14:48:27.045314-05"2022-07-21 14:48:27.045336-05
28718"1404"39886"t"2022-07-21 14:49:07.368689-05"2022-07-21 14:49:07.374243-05"2022-07-21 14:49:07.374255-05
28719"1404"39884"t"2022-07-21 14:49:19.374337-05"2022-07-21 14:49:19.382518-05"2022-07-21 14:49:19.382537-05
28720"1404"37830"t"2022-07-21 14:49:31.146577-05"2022-07-21 14:49:31.151787-05"2022-07-21 14:49:31.151799-05
28721"1404"37846"t"2022-07-21 14:49:51.731969-05"2022-07-21 14:49:51.737845-05"2022-07-21 14:49:51.737869-05
28722"1404"37831"t"2022-07-21 14:50:08.52075-05"2022-07-21 14:50:08.526215-05"2022-07-21 14:50:08.526228-05
28723"1405"40428"t"2022-08-27 06:37:35.249767-05"2022-08-27 06:37:35.255499-05"2022-08-27 06:37:35.255512-05
28724"1405"40420"t"2022-08-27 07:25:30.476482-05"2022-08-27 07:25:30.481831-05"2022-08-27 07:25:30.481844-05
28725"1405"40460"t"2022-08-27 07:25:35.212169-05"2022-08-27 07:25:35.217414-05"2022-08-27 07:25:35.217426-05
28726"1405"40466"t"2022-08-27 07:25:42.059175-05"2022-08-27 07:25:42.064335-05"2022-08-27 07:25:42.064347-05
28728"1405"40442"t"2022-08-27 07:25:54.233958-05"2022-08-27 07:25:54.239454-05"2022-08-27 07:25:54.239466-05
28729"1405"40471"t"2022-08-27 07:26:02.625656-05"2022-08-27 07:26:02.632605-05"2022-08-27 07:26:02.632619-05
28730"1405"40452"t"2022-08-27 07:26:11.036898-05"2022-08-27 07:26:11.042405-05"2022-08-27 07:26:11.042421-05
28731"1405"40456"t"2022-08-27 07:26:16.261685-05"2022-08-27 07:26:16.267622-05"2022-08-27 07:26:16.267635-05
28733"1405"40418"t"2022-08-27 07:26:44.568313-05"2022-08-27 07:26:44.573573-05"2022-08-27 07:26:44.573586-05
28734"1405"40453"t"2022-08-27 07:26:48.280217-05"2022-08-27 07:26:48.285912-05"2022-08-27 07:26:48.285924-05
28735"1405"40468"t"2022-08-27 07:26:59.381608-05"2022-08-27 07:26:59.389679-05"2022-08-27 07:26:59.389699-05
28736"1405"40463"t"2022-08-27 07:27:53.246667-05"2022-08-27 07:27:53.251933-05"2022-08-27 07:27:53.251946-05
28737"1405"40461"t"2022-08-27 07:27:58.111544-05"2022-08-27 07:27:58.117003-05"2022-08-27 07:27:58.117016-05
28738"1405"40431"t"2022-08-27 07:28:08.712378-05"2022-08-27 07:28:08.717818-05"2022-08-27 07:28:08.71783-05
28727"1405"40465"t"2022-08-28 17:39:14.7309-05"2022-08-27 07:25:48.519834-05"2022-08-28 17:39:14.736086-05
28732"1405"40419"t"2022-08-28 17:39:23.683572-05"2022-08-27 07:26:21.435043-05"2022-08-28 17:39:23.688714-05
28739"1405"40445"t"2022-08-27 07:28:13.817737-05"2022-08-27 07:28:13.82348-05"2022-08-27 07:28:13.823493-05
28740"1405"40475"t"2022-08-27 07:28:32.095343-05"2022-08-27 07:28:32.101292-05"2022-08-27 07:28:32.101305-05
28741"1405"40462"t"2022-08-27 07:28:37.07428-05"2022-08-27 07:28:37.079497-05"2022-08-27 07:28:37.079509-05
28744"1405"40478"t"2022-08-27 07:28:56.347032-05"2022-08-27 07:28:56.352664-05"2022-08-27 07:28:56.352677-05
28745"1405"40469"t"2022-08-27 07:29:08.869739-05"2022-08-27 07:29:08.874719-05"2022-08-27 07:29:08.874732-05
28746"1405"40464"t"2022-08-27 07:29:15.450534-05"2022-08-27 07:29:15.455902-05"2022-08-27 07:29:15.455915-05
28747"1405"40473"t"2022-08-27 07:29:21.763408-05"2022-08-27 07:29:21.768759-05"2022-08-27 07:29:21.768771-05
28748"1405"40448"t"2022-08-27 07:29:28.610841-05"2022-08-27 07:29:28.617161-05"2022-08-27 07:29:28.617182-05
28750"1405"40450"t"2022-08-27 07:29:39.923975-05"2022-08-27 07:29:39.929634-05"2022-08-27 07:29:39.929647-05
28751"1405"40459"t"2022-08-27 07:29:49.594253-05"2022-08-27 07:29:49.599922-05"2022-08-27 07:29:49.599935-05
28752"1405"40458"t"2022-08-27 07:30:00.693409-05"2022-08-27 07:30:00.698601-05"2022-08-27 07:30:00.698614-05
28753"1405"40479"t"2022-08-27 07:30:22.179341-05"2022-08-27 07:30:22.18455-05"2022-08-27 07:30:22.184562-05
28754"1405"40451"t"2022-08-27 07:30:27.95548-05"2022-08-27 07:30:27.9609-05"2022-08-27 07:30:27.960913-05
28755"1405"40444"t"2022-08-27 07:30:32.47313-05"2022-08-27 07:30:32.47859-05"2022-08-27 07:30:32.478607-05
28756"1405"40440"t"2022-08-27 07:30:39.049911-05"2022-08-27 07:30:39.055492-05"2022-08-27 07:30:39.055504-05
28757"1405"40441"t"2022-08-27 07:30:43.563368-05"2022-08-27 07:30:43.568377-05"2022-08-27 07:30:43.568389-05
28759"1405"40436"t"2022-08-27 07:30:52.929553-05"2022-08-27 07:30:52.934796-05"2022-08-27 07:30:52.934807-05
28760"1405"40455"t"2022-08-27 07:30:56.331124-05"2022-08-27 07:30:56.338949-05"2022-08-27 07:30:56.338966-05
28761"1405"40433"t"2022-08-27 07:30:58.763921-05"2022-08-27 07:30:58.769156-05"2022-08-27 07:30:58.769168-05
28762"1405"40470"t"2022-08-27 07:31:02.774163-05"2022-08-27 07:31:02.782872-05"2022-08-27 07:31:02.78289-05
28763"1405"40457"t"2022-08-27 07:31:08.116459-05"2022-08-27 07:31:08.121946-05"2022-08-27 07:31:08.121958-05
28764"1405"40430"t"2022-08-27 07:31:20.277244-05"2022-08-27 07:31:20.282988-05"2022-08-27 07:31:20.283001-05
28765"1405"40438"t"2022-08-27 07:31:25.812455-05"2022-08-27 07:31:25.817836-05"2022-08-27 07:31:25.817848-05
28766"1405"40434"t"2022-08-27 07:31:29.66153-05"2022-08-27 07:31:29.666757-05"2022-08-27 07:31:29.666769-05
28767"1405"40439"t"2022-08-27 07:31:34.615268-05"2022-08-27 07:31:34.622919-05"2022-08-27 07:31:34.622939-05
28768"1405"40467"t"2022-08-27 07:31:42.103591-05"2022-08-27 07:31:42.108638-05"2022-08-27 07:31:42.108651-05
28769"1405"40443"t"2022-08-27 07:31:49.543652-05"2022-08-27 07:31:49.549283-05"2022-08-27 07:31:49.549296-05
28770"1405"40474"t"2022-08-27 07:31:55.769711-05"2022-08-27 07:31:55.776112-05"2022-08-27 07:31:55.776131-05
28771"1405"40477"t"2022-08-27 07:32:00.779308-05"2022-08-27 07:32:00.786796-05"2022-08-27 07:32:00.786818-05
28772"1405"40437"t"2022-08-27 07:32:07.633937-05"2022-08-27 07:32:07.639324-05"2022-08-27 07:32:07.639336-05
28773"1405"40476"t"2022-08-27 07:32:11.918869-05"2022-08-27 07:32:11.924044-05"2022-08-27 07:32:11.924056-05
28774"1405"40454"t"2022-08-27 07:32:16.709018-05"2022-08-27 07:32:16.714976-05"2022-08-27 07:32:16.714988-05
28775"1405"40449"t"2022-08-27 07:32:19.471192-05"2022-08-27 07:32:19.481278-05"2022-08-27 07:32:19.4813-05
28776"1405"40472"t"2022-08-27 07:32:24.086381-05"2022-08-27 07:32:24.091603-05"2022-08-27 07:32:24.091617-05
28777"1406"40444"t"2022-08-28 17:34:33.704617-05"2022-08-28 17:34:33.709846-05"2022-08-28 17:34:33.709857-05
28778"1406"40449"t"2022-08-28 17:34:46.712274-05"2022-08-28 17:34:46.72049-05"2022-08-28 17:34:46.720511-05
28779"1406"40454"t"2022-08-28 17:34:52.909168-05"2022-08-28 17:34:52.914333-05"2022-08-28 17:34:52.914346-05
28780"1406"40450"t"2022-08-28 17:34:58.7945-05"2022-08-28 17:34:58.799718-05"2022-08-28 17:34:58.799731-05
28781"1406"40461"t"2022-08-28 17:35:08.873792-05"2022-08-28 17:35:08.878931-05"2022-08-28 17:35:08.878943-05
28782"1406"40442"t"2022-08-28 17:36:11.21384-05"2022-08-28 17:36:11.219042-05"2022-08-28 17:36:11.219056-05
28783"1406"40418"t"2022-08-28 17:36:15.921581-05"2022-08-28 17:36:15.927082-05"2022-08-28 17:36:15.927099-05
28784"1406"40453"t"2022-08-28 17:36:22.204779-05"2022-08-28 17:36:22.210177-05"2022-08-28 17:36:22.210189-05
28785"1406"40463"t"2022-08-28 17:36:29.477229-05"2022-08-28 17:36:29.482349-05"2022-08-28 17:36:29.482362-05
28786"1406"40468"t"2022-08-28 17:36:36.333277-05"2022-08-28 17:36:36.33998-05"2022-08-28 17:36:36.339993-05
28787"1406"40464"t"2022-08-28 17:36:41.780863-05"2022-08-28 17:36:41.788488-05"2022-08-28 17:36:41.7885-05
28788"1406"40441"t"2022-08-28 17:36:46.356395-05"2022-08-28 17:36:46.362026-05"2022-08-28 17:36:46.362039-05
28789"1406"40440"t"2022-08-28 17:36:51.397624-05"2022-08-28 17:36:51.40284-05"2022-08-28 17:36:51.402852-05
28790"1406"40456"t"2022-08-28 17:36:56.952959-05"2022-08-28 17:36:56.958549-05"2022-08-28 17:36:56.958561-05
28791"1406"40452"t"2022-08-28 17:37:04.576844-05"2022-08-28 17:37:04.584217-05"2022-08-28 17:37:04.584231-05
28792"1406"40459"t"2022-08-28 17:37:16.437545-05"2022-08-28 17:37:16.442703-05"2022-08-28 17:37:16.442717-05
28793"1406"40469"t"2022-08-28 17:37:21.711504-05"2022-08-28 17:37:21.716635-05"2022-08-28 17:37:21.716647-05
28794"1406"40436"t"2022-08-28 17:37:33.968485-05"2022-08-28 17:37:33.973663-05"2022-08-28 17:37:33.973676-05
28795"1406"40455"t"2022-08-28 17:37:39.695241-05"2022-08-28 17:37:39.700434-05"2022-08-28 17:37:39.700446-05
28796"1406"40445"t"2022-08-28 17:38:08.218748-05"2022-08-28 17:38:08.224108-05"2022-08-28 17:38:08.22412-05
28797"1406"40431"t"2022-08-28 17:38:15.193294-05"2022-08-28 17:38:15.20123-05"2022-08-28 17:38:15.201252-05
28798"1406"40433"t"2022-08-28 17:38:20.807221-05"2022-08-28 17:38:20.812233-05"2022-08-28 17:38:20.812246-05
28799"1406"40460"t"2022-08-28 17:38:28.102606-05"2022-08-28 17:38:28.107934-05"2022-08-28 17:38:28.107947-05
28800"1406"40437"t"2022-08-28 17:38:36.04648-05"2022-08-28 17:38:36.051893-05"2022-08-28 17:38:36.051905-05
28801"1406"40477"t"2022-08-28 17:38:42.136496-05"2022-08-28 17:38:42.14306-05"2022-08-28 17:38:42.143074-05
28802"1406"40451"t"2022-08-28 17:38:52.448743-05"2022-08-28 17:38:52.458194-05"2022-08-28 17:38:52.458206-05
28803"1406"40470"t"2022-08-28 17:39:02.952936-05"2022-08-28 17:39:02.96131-05"2022-08-28 17:39:02.96133-05
28804"1406"40472"t"2022-08-28 17:39:09.384039-05"2022-08-28 17:39:09.389334-05"2022-08-28 17:39:09.389348-05
28805"1406"40467"t"2022-08-28 17:39:17.636112-05"2022-08-28 17:39:17.641134-05"2022-08-28 17:39:17.641145-05
28806"1406"40443"t"2022-08-28 17:39:22.914451-05"2022-08-28 17:39:22.919558-05"2022-08-28 17:39:22.91957-05
28807"1406"40462"t"2022-08-28 17:39:29.802487-05"2022-08-28 17:39:29.807701-05"2022-08-28 17:39:29.807713-05
28742"1405"40432"t"2022-08-28 17:39:32.719909-05"2022-08-27 07:28:41.824444-05"2022-08-28 17:39:32.725065-05
28808"1406"40448"t"2022-08-28 17:39:36.511106-05"2022-08-28 17:39:36.516647-05"2022-08-28 17:39:36.516661-05
28809"1406"40476"t"2022-08-28 17:39:42.250822-05"2022-08-28 17:39:42.25603-05"2022-08-28 17:39:42.256042-05
28749"1405"40447"t"2022-08-28 17:39:42.357664-05"2022-08-27 07:29:36.353981-05"2022-08-28 17:39:42.363392-05
28810"1406"40457"t"2022-08-28 17:39:46.887664-05"2022-08-28 17:39:46.892975-05"2022-08-28 17:39:46.892988-05
28758"1405"40435"t"2022-08-28 17:39:50.278292-05"2022-08-27 07:30:49.503983-05"2022-08-28 17:39:50.283871-05
28811"1406"40434"t"2022-08-28 17:39:50.765944-05"2022-08-28 17:39:50.771942-05"2022-08-28 17:39:50.771954-05
28812"1406"40439"t"2022-08-28 17:40:00.292426-05"2022-08-28 17:40:00.300166-05"2022-08-28 17:40:00.300186-05
28813"1406"40466"t"2022-08-28 17:40:08.215439-05"2022-08-28 17:40:08.220462-05"2022-08-28 17:40:08.220474-05
28743"1405"40446"t"2022-08-28 17:40:11.017029-05"2022-08-27 07:28:49.253977-05"2022-08-28 17:40:11.022426-05
28814"1413"39927"t"2022-09-05 06:54:22.289389-05"2022-09-05 06:54:22.294335-05"2022-09-05 06:54:22.294359-05
28815"1413"40107"t"2022-09-05 06:54:41.544138-05"2022-09-05 06:54:41.54916-05"2022-09-05 06:54:41.549172-05
28816"1413"40483"t"2022-09-05 06:55:53.828765-05"2022-09-05 06:55:53.839348-05"2022-09-05 06:55:53.83936-05
28818"1413"39975"t"2022-09-05 06:56:06.979386-05"2022-09-05 06:56:06.990751-05"2022-09-05 06:56:06.990763-05
28835"1413"39900"t"2022-09-05 07:00:25.520334-05"2022-09-05 07:00:25.532033-05"2022-09-05 07:00:25.532045-05
28817"1413"39992"t"2022-09-05 06:56:07.580492-05"2022-09-05 06:56:06.853653-05"2022-09-05 06:56:07.591367-05
28819"1413"40119"t"2022-09-05 06:56:19.846113-05"2022-09-05 06:56:19.851286-05"2022-09-05 06:56:19.851298-05
28820"1413"40063"t"2022-09-05 06:56:30.24448-05"2022-09-05 06:56:30.250686-05"2022-09-05 06:56:30.250704-05
28821"1413"39977"t"2022-09-05 06:56:40.793436-05"2022-09-05 06:56:40.798738-05"2022-09-05 06:56:40.79875-05
28822"1413"40159"t"2022-09-05 06:56:41.518227-05"2022-09-05 06:56:41.523483-05"2022-09-05 06:56:41.523496-05
28823"1413"39896"t"2022-09-05 06:56:45.904235-05"2022-09-05 06:56:45.909906-05"2022-09-05 06:56:45.909918-05
28824"1413"40074"t"2022-09-05 06:56:51.978437-05"2022-09-05 06:56:51.985824-05"2022-09-05 06:56:51.985844-05
28825"1413"40031"t"2022-09-05 06:56:56.554884-05"2022-09-05 06:56:56.560318-05"2022-09-05 06:56:56.560332-05
28827"1413"40104"t"2022-09-05 06:57:24.33698-05"2022-09-05 06:57:22.976759-05"2022-09-05 06:57:24.345752-05
28837"1413"40482"t"2022-09-05 07:00:40.181707-05"2022-09-05 07:00:40.193671-05"2022-09-05 07:00:40.193684-05
28838"1413"39931"t"2022-09-05 07:00:40.32334-05"2022-09-05 07:00:40.335482-05"2022-09-05 07:00:40.335495-05
28830"1413"40014"t"2022-09-05 06:59:52.735212-05"2022-09-05 06:58:26.854662-05"2022-09-05 06:59:52.749491-05
28836"1413"40060"t"2022-09-05 07:00:40.460859-05"2022-09-05 07:00:40.059335-05"2022-09-05 07:00:40.470747-05
28829"1413"40122"t"2022-09-05 06:58:04.714417-05"2022-09-05 06:58:04.72403-05"2022-09-05 06:58:04.724042-05
28839"1413"40000"t"2022-09-05 07:00:44.872761-05"2022-09-05 07:00:44.88257-05"2022-09-05 07:00:44.882583-05
28840"1413"39923"t"2022-09-05 07:00:51.226151-05"2022-09-05 07:00:51.236282-05"2022-09-05 07:00:51.236294-05
28831"1413"39979"t"2022-09-05 06:59:41.311302-05"2022-09-05 06:59:41.020614-05"2022-09-05 06:59:41.321963-05
28853"1413"40145"t"2022-09-05 07:01:28.657605-05"2022-09-05 07:01:28.40732-05"2022-09-05 07:01:28.667856-05
28826"1413"40052"t"2022-09-05 07:00:03.993074-05"2022-09-05 06:57:00.993527-05"2022-09-05 07:00:04.006041-05
28828"1413"40115"t"2022-09-05 07:00:04.239008-05"2022-09-05 06:57:24.112066-05"2022-09-05 07:00:04.249831-05
28841"1413"40120"t"2022-09-05 07:00:59.872121-05"2022-09-05 07:00:59.373524-05"2022-09-05 07:00:59.882807-05
28832"1413"39934"t"2022-09-05 07:00:04.382175-05"2022-09-05 07:00:04.394836-05"2022-09-05 07:00:04.394849-05
28833"1413"39947"t"2022-09-05 07:00:20.860758-05"2022-09-05 07:00:20.870123-05"2022-09-05 07:00:20.870135-05
28834"1413"39905"t"2022-09-05 07:00:22.461363-05"2022-09-05 07:00:22.472221-05"2022-09-05 07:00:22.472234-05
28842"1413"40080"t"2022-09-05 07:01:00.015698-05"2022-09-05 07:00:59.499762-05"2022-09-05 07:01:00.024967-05
28843"1413"40108"t"2022-09-05 07:01:00.144784-05"2022-09-05 07:00:59.753479-05"2022-09-05 07:01:00.155667-05
28844"1413"39915"t"2022-09-05 07:01:04.812585-05"2022-09-05 07:01:04.824745-05"2022-09-05 07:01:04.824758-05
28845"1413"40051"t"2022-09-05 07:01:04.945334-05"2022-09-05 07:01:04.955325-05"2022-09-05 07:01:04.955339-05
28846"1413"40129"t"2022-09-05 07:01:14.37042-05"2022-09-05 07:01:13.720947-05"2022-09-05 07:01:14.381151-05
28847"1413"40127"t"2022-09-05 07:01:14.238372-05"2022-09-05 07:01:14.250332-05"2022-09-05 07:01:14.250345-05
28849"1413"40132"t"2022-09-05 07:01:19.030803-05"2022-09-05 07:01:19.042491-05"2022-09-05 07:01:19.042504-05
28850"1413"40010"t"2022-09-05 07:01:19.169005-05"2022-09-05 07:01:19.181315-05"2022-09-05 07:01:19.181328-05
28851"1413"40105"t"2022-09-05 07:01:19.310464-05"2022-09-05 07:01:19.321268-05"2022-09-05 07:01:19.32128-05
28852"1413"39928"t"2022-09-05 07:01:28.268724-05"2022-09-05 07:01:28.017683-05"2022-09-05 07:01:28.279132-05
28854"1413"40044"t"2022-09-05 07:01:28.527698-05"2022-09-05 07:01:28.537128-05"2022-09-05 07:01:28.537141-05
28855"1413"39907"t"2022-09-05 07:01:28.77923-05"2022-09-05 07:01:28.788659-05"2022-09-05 07:01:28.788671-05
28856"1413"39893"t"2022-09-05 07:01:37.295582-05"2022-09-05 07:01:37.305659-05"2022-09-05 07:01:37.305672-05
28848"1413"39938"t"2022-09-05 07:04:37.490588-05"2022-09-05 07:01:14.505563-05"2022-09-05 07:04:37.49565-05
28857"1413"40100"t"2022-09-05 07:01:37.945436-05"2022-09-05 07:01:37.950989-05"2022-09-05 07:01:37.951002-05
28858"1413"39970"t"2022-09-05 07:01:39.128035-05"2022-09-05 07:01:39.1334-05"2022-09-05 07:01:39.133413-05
28859"1413"39913"t"2022-09-05 07:01:40.295083-05"2022-09-05 07:01:40.300422-05"2022-09-05 07:01:40.300434-05
28860"1413"39909"t"2022-09-05 07:01:44.352815-05"2022-09-05 07:01:44.358-05"2022-09-05 07:01:44.358012-05
28861"1413"40032"t"2022-09-05 07:01:45.94039-05"2022-09-05 07:01:45.951902-05"2022-09-05 07:01:45.951915-05
28862"1413"39987"t"2022-09-05 07:01:46.224085-05"2022-09-05 07:01:46.235041-05"2022-09-05 07:01:46.235053-05
28863"1413"40110"t"2022-09-05 07:01:48.228388-05"2022-09-05 07:01:48.234466-05"2022-09-05 07:01:48.234478-05
28864"1413"39981"t"2022-09-05 07:01:52.788069-05"2022-09-05 07:01:52.793327-05"2022-09-05 07:01:52.793339-05
28865"1413"40048"t"2022-09-05 07:01:55.622326-05"2022-09-05 07:01:55.627797-05"2022-09-05 07:01:55.627813-05
28866"1413"40485"t"2022-09-05 07:01:57.827684-05"2022-09-05 07:01:57.83833-05"2022-09-05 07:01:57.838342-05
