id"maximum_capacity"created"updated"camp_id"grouping_id
316"15"2019-01-22 16:04:54.577953-06"2019-01-22 16:04:54.577982-06"20508"9
317"50"2019-02-05 11:23:05.366263-06"2019-02-05 11:23:05.366293-06"20465"1
318"50"2019-02-05 11:23:19.296264-06"2019-02-05 11:23:19.296297-06"20465"2
320"45"2019-02-05 11:24:49.701042-06"2019-02-05 11:24:49.701074-06"20465"14
321"22"2019-02-05 11:26:27.545914-06"2019-02-05 11:26:27.545944-06"20465"7
322"22"2019-02-05 11:26:38.14759-06"2019-02-05 11:26:38.147621-06"20465"6
323"22"2019-02-05 11:26:48.538097-06"2019-02-05 11:26:48.53813-06"20465"8
324"22"2019-02-05 11:26:58.842044-06"2019-02-05 11:26:58.842076-06"20465"9
319"45"2019-02-05 11:23:55.014359-06"2019-02-07 11:08:19.975294-06"20465"13
325"12"2019-02-07 11:09:23.191879-06"2019-02-07 11:09:23.191906-06"20465"75
326"14"2019-02-07 11:09:43.07872-06"2019-02-07 11:09:43.078751-06"20465"76
327"10"2019-02-07 11:10:04.965008-06"2019-02-07 11:10:04.965038-06"20465"77
328"10"2019-02-07 11:10:21.055232-06"2019-02-07 11:10:21.055262-06"20465"78
329"10"2019-02-07 11:10:35.012018-06"2019-02-07 11:10:35.012047-06"20465"79
330"20"2019-02-07 11:10:50.15639-06"2019-02-07 11:10:50.156423-06"20465"80
331"12"2019-02-07 11:29:37.12089-06"2019-02-07 11:29:37.120944-06"20465"81
332"12"2019-02-07 11:38:01.154206-06"2019-02-07 11:38:01.154238-06"20465"82
333"10"2019-02-07 11:38:14.624825-06"2019-02-07 11:38:14.624857-06"20465"83
334"10"2019-02-07 11:38:23.093149-06"2019-02-07 11:38:23.093179-06"20465"84
335"14"2019-02-07 11:39:03.988118-06"2019-02-07 11:39:03.988149-06"20465"85
336"14"2019-02-07 11:40:13.116987-06"2019-02-07 11:40:13.117019-06"20465"86
337"12"2019-02-07 11:40:34.872348-06"2019-02-07 11:40:34.87241-06"20465"87
338"30"2019-02-15 11:59:27.612594-06"2019-02-15 11:59:27.612625-06"20454"1
339"30"2019-02-15 11:59:37.371615-06"2019-02-15 11:59:37.371646-06"20454"2
340"14"2019-02-15 12:01:50.792527-06"2019-02-15 12:01:50.792557-06"20454"75
341"14"2019-02-15 12:02:02.946828-06"2019-02-15 12:02:02.946857-06"20454"76
342"14"2019-02-15 12:02:14.528731-06"2019-02-15 12:02:14.52876-06"20454"77
343"14"2019-02-15 12:02:22.491107-06"2019-02-15 12:02:22.49115-06"20454"78
344"14"2019-02-15 12:02:33.244321-06"2019-02-15 12:02:33.244358-06"20454"79
345"14"2019-02-15 12:02:44.598898-06"2019-02-15 12:02:44.598954-06"20454"80
346"15"2019-02-15 12:03:24.841884-06"2019-02-15 12:03:24.841913-06"20454"7
347"15"2019-02-15 12:03:38.734958-06"2019-02-15 12:03:38.734987-06"20454"6
348"15"2019-02-15 12:03:52.405754-06"2019-02-15 12:03:52.405807-06"20454"8
349"15"2019-02-15 12:04:05.971323-06"2019-02-15 12:04:05.9714-06"20454"9
350"40"2019-02-21 11:38:03.215654-06"2019-02-21 11:38:03.215682-06"20520"13
351"40"2019-02-21 11:39:30.932929-06"2019-02-21 11:39:30.932958-06"20520"148
356"50"2019-02-24 18:03:46.937092-06"2019-02-24 18:23:23.828641-06"20517"13
357"50"2019-02-24 18:04:11.617619-06"2019-02-24 18:23:23.83547-06"20517"14
352"30"2019-02-24 17:58:00.368995-06"2019-02-24 18:23:23.839655-06"20517"7
353"30"2019-02-24 17:58:17.570535-06"2019-02-24 18:23:23.844348-06"20517"6
354"30"2019-02-24 17:59:39.62381-06"2019-02-24 18:23:23.848376-06"20517"8
355"30"2019-02-24 18:00:16.103687-06"2019-02-24 18:23:23.852279-06"20517"9
358"50"2019-02-24 18:37:33.647497-06"2019-02-24 18:37:33.647528-06"20517"1
359"50"2019-02-24 18:37:45.086115-06"2019-02-24 18:37:45.086147-06"20517"2
360"30"2019-02-24 18:54:38.185188-06"2019-02-24 18:54:38.185219-06"20517"75
361"30"2019-02-24 18:54:52.357042-06"2019-02-24 18:54:52.357071-06"20517"76
362"30"2019-02-24 18:55:02.980293-06"2019-02-24 18:55:02.980343-06"20517"77
363"30"2019-02-24 18:55:47.050457-06"2019-02-24 18:55:47.050498-06"20517"78
364"10"2019-02-26 12:19:57.793117-06"2019-02-26 12:19:57.793146-06"20467"6
365"10"2019-02-26 12:20:07.668693-06"2019-02-26 12:20:07.668725-06"20467"8
366"10"2019-02-26 12:20:15.202174-06"2019-02-26 12:20:15.202204-06"20467"7
367"10"2019-02-26 12:20:23.153105-06"2019-02-26 12:20:23.153134-06"20467"9
368"100"2019-02-26 14:46:27.23703-06"2019-02-28 18:21:36.131461-06"20491"1
369"100"2019-02-26 14:46:33.876447-06"2019-02-28 18:21:36.137032-06"20491"2
